system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,NDWI,class,.geo
37_0,0.2308,0.1039,0.0302,0.0561,0.027,0.4384,-0.31853223,0.8850076,-0.780956,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.1985,0.0817,0.0304,0.0464,0.0239,0.4124,-0.34678355,0.8904424,-0.79773325,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.2032,0.0826,0.031,0.047,0.0243,0.4056,-0.3527497,0.8880309,-0.7961054,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.18895,0.07995,0.0255,0.04525,0.02335,0.327,-0.2767134,0.87351704,-0.7586932,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.17655,0.0675,0.02165,0.0343,0.01755,0.3918,-0.3871052,0.91370773,-0.83810705,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.17205,0.06785,0.0234,0.0303,0.01635,0.30505002,-0.2993363,0.89813894,-0.81815696,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.20325,0.08235,0.02805,0.04405,0.022,0.41295,-0.354673,0.8998793,-0.811798,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.1881,0.0752,0.024,0.04,0.0206,0.3919,-0.36146075,0.9024272,-0.81732136,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.1795,0.0719,0.0228,0.0352,0.0193,0.3336,-0.3143535,0.8956373,-0.8134206,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.22325,0.0934,0.02735,0.04625,0.02245,0.42895,-0.33024845,0.90113586,-0.81670225,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.2451,0.1084,0.0409,0.06915,0.0344,0.52985,-0.3711807,0.8751823,-0.77048945,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.19665,0.09,0.0348,0.04825,0.03055,0.30045,-0.21308173,0.8125722,-0.7253934,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.20345,0.08965,0.0291,0.0544,0.02685,0.4094,-0.34494907,0.8752994,-0.76615787,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.1877,0.0833,0.0247,0.04365,0.022,0.35525,-0.3159269,0.88619167,-0.78735274,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.1597,0.0631,0.0267,0.0378,0.0207,0.33020002,-0.3621486,0.88233393,-0.7953669,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.1992,0.0946,0.0234,0.0422,0.0221,0.2929,-0.19507614,0.85968256,-0.77453583,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,0.173,0.0738,0.0231,0.0451,0.0226,0.3022,-0.29347616,0.8623925,-0.7599364,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
