system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,NDWI,class,.geo
0_0,1703.0,686.0,231.0,364.0,201.5,3376.5,-0.33973962,0.8888732,-0.81005514,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,958.5,373.5,232.5,329.5,170.5,2512.0,-0.45161957,0.8751945,-0.76825166,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1876.5,715.0,272.0,478.0,211.5,4872.0,-0.45452625,0.9186603,-0.8266628,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,1673.0,672.0,201.5,311.5,165.5,3232.0,-0.32406887,0.9032361,-0.8312218,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,1722.5,641.5,240.5,409.5,173.0,4250.0,-0.42290062,0.9224241,-0.8301375,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,1674.0,640.5,233.0,376.0,171.5,3726.5,-0.38320053,0.9116454,-0.82154405,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,2171.0,956.0,261.0,469.0,222.0,4698.0,-0.37749827,0.9131656,-0.82166946,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,1812.0,785.0,270.5,438.0,228.5,3584.0,-0.34130338,0.8796805,-0.7834263,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,1556.5,621.0,244.0,343.5,191.0,3178.5,-0.35466167,0.8907934,-0.8042118,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,1940.0,801.0,294.0,463.0,271.5,3770.0,-0.31996095,0.8599436,-0.77823305,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,894.5,351.5,221.0,337.5,166.5,2332.0,-0.4372597,0.8664773,-0.7457688,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,1977.5,839.0,268.5,446.0,227.5,3446.0,-0.28379276,0.87580866,-0.7752312,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,1748.0,727.0,260.5,375.5,194.5,3211.5,-0.29523465,0.88307774,-0.78704673,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,1713.5,686.5,207.5,329.5,186.5,3220.5,-0.3150656,0.8890724,-0.8150306,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,1894.0,736.5,232.5,423.5,192.5,4070.5,-0.37841064,0.90949243,-0.8203323,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,2120.0,857.0,267.0,421.0,207.5,4315.5,-0.35453868,0.9069815,-0.8232488,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,1736.5,676.5,240.0,367.0,197.5,3648.0,-0.37373748,0.8972323,-0.8163761,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,1573.0,652.0,276.0,418.0,201.0,4141.0,-0.45761567,0.904936,-0.81489843,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,1550.0,607.0,215.0,304.0,166.0,3006.0,-0.34016943,0.89467007,-0.8151976,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,2020.0,866.0,268.0,454.0,229.0,4072.0,-0.35068622,0.89969677,-0.79343754,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,1887.5,798.5,277.0,399.5,218.5,3812.0,-0.35286924,0.89233595,-0.81252486,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,1990.5,828.5,344.0,462.5,277.5,3773.0,-0.3084301,0.8704246,-0.78141326,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,1843.5,772.0,266.0,399.5,225.5,3520.0,-0.3229886,0.88329995,-0.79685706,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,1876.5,779.5,231.0,386.5,190.5,3520.5,-0.32086837,0.8990759,-0.81049865,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,1946.0,772.0,255.0,402.0,207.0,3801.0,-0.33958182,0.8970982,-0.8087081,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,1965.0,798.5,313.5,476.0,262.5,4144.5,-0.3672828,0.8820318,-0.7956939,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,1487.0,601.0,213.0,282.0,168.5,2598.0,-0.28698194,0.87825876,-0.81405085,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,2015.0,860.5,304.0,434.0,227.0,3934.0,-0.31443873,0.8906849,-0.80112237,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,2050.5,918.5,323.5,472.5,266.5,3232.0,-0.24181284,0.8467591,-0.74391013,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,1930.0,815.5,259.5,372.5,200.0,3408.0,-0.2721012,0.8863012,-0.80146086,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,2193.5,937.0,274.0,435.5,227.0,4074.0,-0.31074354,0.89623266,-0.8092038,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,1900.0,802.5,270.5,455.0,232.5,3558.0,-0.31282488,0.87489927,-0.7725254,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,2025.0,855.0,308.0,468.0,247.0,3712.0,-0.2951049,0.8787725,-0.77948225,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
