system:index,B11,B12,B2,B3,B4,B8,NDVI,class,.geo
205_0,1809.0,923.0,503.0,733.0,588.0,3150.0,0.6825134,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,1806.0,934.5,494.5,706.0,620.5,2679.0,0.6154775,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,1850.5,1002.5,465.5,706.0,585.0,2487.0,0.6225596,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,1856.5,940.0,497.0,705.0,566.0,2817.5,0.66210943,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,1799.0,853.0,446.0,641.0,502.0,3132.0,0.7218252,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,2128.5,1605.0,1271.0,1458.0,1540.0,1970.5,0.13432294,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,2125.5,1594.0,1351.0,1529.0,1652.0,2008.0,0.11563046,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,2370.0,1658.5,428.5,654.5,548.5,2808.0,0.6742629,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,156.0,98.0,550.0,808.0,786.0,454.0,-0.29850745,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,112.0,64.0,554.0,787.0,780.0,393.0,-0.36371604,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,281.0,123.0,548.0,782.0,753.0,466.0,-0.24644549,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,158.0,69.0,538.0,771.0,753.0,474.0,-0.2540193,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,334.0,143.0,552.0,792.0,766.0,468.0,-0.2601626,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
218_0,178.5,93.0,546.0,765.5,746.5,471.0,-0.22564904,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,195.5,90.0,535.0,753.0,749.0,433.5,-0.2454008,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,176.5,95.0,557.5,772.5,760.0,435.5,-0.27528328,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,296.5,103.0,526.5,732.5,701.0,485.5,-0.18570675,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,202.5,113.5,536.5,745.5,727.5,445.0,-0.24277678,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,151.0,73.0,555.0,784.0,805.0,479.0,-0.2812749,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,190.0,85.0,558.0,788.0,808.0,429.0,-0.30639732,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
225_0,2628.0,2303.0,1056.0,1542.0,1764.0,1966.0,0.06652698,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,1533.0,1376.0,1270.0,1382.0,1376.0,1458.0,0.0035033086,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
227_0,1849.0,1681.0,894.0,1218.0,1440.0,1608.0,0.048718873,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,2618.0,2111.0,993.0,1440.0,1738.0,1964.0,0.053716768,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,1826.0,1636.0,932.0,1262.0,1482.0,1656.0,0.06038487,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,2050.0,1680.0,1002.0,1372.0,1532.0,2078.0,0.15458122,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,1938.0,1793.0,1244.0,1518.0,1620.0,1734.0,0.024415055,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,2111.0,1884.0,816.0,1130.0,1400.0,1619.0,0.057142857,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,2191.0,1973.0,1200.0,1444.0,1644.0,1664.0,0.018094089,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,1671.0,1169.0,544.0,804.0,970.0,1650.0,0.2632405,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,1747.0,1462.0,972.0,1246.0,1500.0,1726.0,0.07145047,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,1968.0,1551.0,1362.0,1656.0,1770.0,1958.0,0.047021944,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,2332.0,1952.0,744.0,1176.0,1366.0,1847.0,0.13567173,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,1770.0,1603.0,885.0,1128.0,1218.0,1300.0,0.026345083,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
239_0,2260.0,1943.0,778.0,1130.0,1376.0,1628.0,0.084791385,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,2818.0,2456.0,889.0,1258.0,1562.0,1930.0,0.10717348,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
241_0,2674.0,2145.0,751.0,1128.0,1422.0,1912.0,0.15144509,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
242_0,2343.0,2061.0,749.0,1114.0,1418.0,1644.0,0.0810629,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
243_0,2694.0,2255.0,648.0,1120.0,1622.0,2270.0,0.16649537,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
244_0,1955.0,1818.0,728.0,972.0,1082.0,1176.0,0.043557167,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
245_0,2089.0,1912.0,808.0,1104.0,1262.0,1393.0,0.06010929,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
246_0,2481.0,2107.0,689.0,1052.0,1240.0,1607.0,0.12733446,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
247_0,2070.0,1607.0,722.0,1052.0,1192.0,1495.0,0.1054409,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
248_0,1700.0,1346.0,674.0,870.0,900.0,1644.0,0.28756675,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
249_0,2058.0,1795.0,706.0,910.0,1026.0,1248.0,0.10236221,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,1602.0,1503.0,824.0,1080.0,1160.0,1294.0,0.05472637,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
251_0,1548.0,1387.0,784.0,1032.0,1144.0,1317.0,0.07047926,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,1686.0,1561.0,858.0,1078.0,1104.0,1122.0,0.008086253,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
253_0,2500.0,2026.0,798.0,1262.0,1614.0,1980.0,0.10506067,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
254_0,1872.0,1708.0,720.0,982.0,1094.0,1221.0,0.054545455,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
255_0,1939.0,1758.0,948.0,1202.0,1238.0,1264.0,0.026335591,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,2654.0,1826.0,596.0,952.0,1242.0,2592.0,0.3134578,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
257_0,1994.0,1633.0,690.0,946.0,1152.0,1521.0,0.14785652,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
258_0,2752.5,1456.0,480.5,837.0,646.0,3843.0,0.7150964,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
259_0,2709.0,1427.0,501.0,835.5,601.5,4270.0,0.74451905,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
260_0,2621.0,1360.5,405.5,695.5,561.0,3590.0,0.7337165,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
261_0,2918.0,1544.5,499.0,781.5,672.0,3898.0,0.70409507,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
262_0,2675.0,1370.0,438.5,706.5,577.5,3590.0,0.72479653,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,2322.5,1230.5,388.5,584.0,536.0,2702.5,0.66888106,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
264_0,2385.0,1246.5,430.0,650.0,582.5,3148.0,0.68185145,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
265_0,2177.0,1155.5,381.5,563.0,571.0,2557.5,0.64126444,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
266_0,2080.5,1035.5,342.0,549.5,496.0,2858.0,0.70645374,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
267_0,2025.5,922.0,322.0,483.0,352.0,3393.0,0.8100219,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
268_0,2545.5,1336.0,442.0,650.5,634.0,3256.0,0.6697873,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
269_0,2611.0,1350.0,466.5,729.0,651.5,3693.5,0.69199425,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
270_0,2729.0,1400.0,436.0,706.0,604.0,3868.0,0.7298748,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
271_0,2637.0,1426.0,439.5,734.5,598.0,3728.0,0.72087085,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
272_0,2564.0,1311.5,460.0,727.0,612.0,3771.5,0.71977663,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,2317.0,1179.0,467.5,771.0,578.0,4208.0,0.75933146,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
274_0,2658.5,1433.0,511.0,811.0,704.0,4004.0,0.69723344,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
275_0,2377.0,1099.5,368.0,686.0,373.0,4672.0,0.8512249,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
276_0,2672.5,1364.0,431.5,671.0,538.5,3504.0,0.73162216,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
277_0,2684.0,1389.5,430.0,686.5,563.5,3786.0,0.7343301,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
278_0,2756.5,1484.0,454.5,686.5,646.0,3278.0,0.66956383,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
279_0,2138.0,1067.5,356.5,574.5,472.0,2718.5,0.7062616,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
280_0,2448.0,1294.0,460.5,685.0,686.0,2839.0,0.6107799,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
281_0,2694.5,1419.5,437.5,744.0,560.5,3920.0,0.748717,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
282_0,2313.0,1119.0,411.5,754.5,457.5,4342.5,0.81355196,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
283_0,2447.5,1203.5,430.5,730.0,550.5,3812.5,0.74460995,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
284_0,2132.0,1026.5,358.0,719.0,421.0,4290.0,0.81315434,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
285_0,2678.0,1473.5,468.0,764.0,635.0,3242.5,0.6668832,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
286_0,2506.5,1336.0,442.0,753.0,582.0,3614.0,0.7199919,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
287_0,2606.0,1352.0,467.0,817.5,578.5,3896.0,0.73179036,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
288_0,2590.5,1369.5,449.0,770.5,600.0,3410.0,0.6989116,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
289_0,2581.5,1350.0,473.0,829.0,573.5,4016.0,0.7485033,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
290_0,2439.0,1229.0,352.0,631.0,414.0,3896.0,0.8078886,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
291_0,2172.0,1063.0,384.0,636.0,492.0,3063.0,0.7235955,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
