system:index,B11,B12,B2,B3,B4,B8,NDVI,class,.geo
130_0,2127.0,1061.0,388.5,701.0,461.5,3504.0,0.76908684,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,2247.0,1099.0,366.0,731.0,331.0,4154.0,0.85640293,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,2747.5,1786.5,600.5,864.0,870.0,2819.0,0.51246846,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,2171.5,1265.5,424.0,801.0,474.0,3659.0,0.7619791,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,2724.5,1714.5,514.0,791.0,745.5,3067.0,0.60721266,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,2472.5,1475.0,533.5,876.5,787.5,3544.0,0.599819,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,1789.5,910.0,417.0,621.5,412.0,3500.0,0.7824715,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,2751.0,1722.0,643.0,945.0,1009.5,3327.5,0.51990455,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,1688.5,710.5,323.0,512.0,330.0,4132.0,0.84196556,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,2483.5,1393.5,475.0,806.5,611.0,3378.0,0.6927366,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,1752.5,761.5,305.5,520.5,308.0,3974.5,0.8589565,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,1788.5,948.5,445.5,721.0,450.5,3183.5,0.74975556,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,2258.5,1036.5,398.5,658.0,430.5,4058.0,0.7963968,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,1779.0,911.5,409.5,564.0,383.5,3823.0,0.82018256,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,2088.5,1139.0,426.5,578.0,406.0,3503.0,0.79139227,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,1823.5,854.0,380.0,545.0,336.0,4349.5,0.85595953,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,1915.0,894.0,348.0,588.0,292.0,4441.0,0.87913907,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,1993.0,1080.0,379.0,592.0,366.0,3572.0,0.81411886,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,2004.0,1203.0,470.0,712.0,526.0,3125.0,0.7063093,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,2894.0,1835.0,641.0,960.0,942.0,3328.0,0.5047706,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,2354.0,1331.0,443.0,784.0,536.0,3560.0,0.73828125,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,1845.0,883.0,309.0,514.0,299.0,3602.0,0.846706,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,1969.0,1103.0,444.0,766.0,576.0,3209.0,0.6732842,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,2074.0,985.0,352.0,586.0,359.0,4092.0,0.83843386,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,2226.0,1415.0,490.0,723.0,652.0,3026.0,0.6454595,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,2991.0,1986.0,612.0,930.0,1021.0,3344.0,0.4902646,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
