system:index,B11,B12,B2,B3,B4,B8,class,.geo
52_0,1992.0,946.0,234.0,422.0,221.0,2929.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,1730.0,738.0,231.0,451.0,226.0,3022.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,1516.5,613.5,187.5,284.5,149.5,2502.0,forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,2277.5,1331.0,629.0,874.0,837.0,2860.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,1818.5,1079.0,612.0,765.5,666.5,2586.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,2473.0,1469.0,1337.0,1761.0,1721.0,4440.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,2147.5,1314.5,498.0,771.5,707.0,3194.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,2284.0,1327.0,672.0,971.0,778.0,4264.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,5918.5,5574.5,3938.0,4964.0,5684.0,6756.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,1359.0,1186.0,1369.0,1536.0,1766.0,2105.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,2808.0,1994.5,1453.0,1694.0,1893.0,4782.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,2273.0,1610.0,834.0,1220.0,1054.0,3563.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,2277.0,1358.0,718.0,993.0,966.0,2876.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,2459.0,1778.0,830.0,1050.0,1079.0,2695.5,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,2284.0,1414.0,741.5,959.0,938.5,3292.0,roads,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,2761.5,2131.0,567.5,686.0,957.0,2642.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,2550.5,1746.0,440.0,629.5,629.5,2852.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,2428.0,1526.5,607.0,862.0,1352.0,2954.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,2664.0,2252.5,600.5,798.0,1130.0,2066.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,2319.0,1610.0,735.5,919.0,1159.0,2246.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,2343.0,1521.5,449.0,613.0,783.5,2715.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,2736.0,2256.0,526.5,728.0,990.5,1976.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,2628.0,1955.0,520.0,737.0,862.0,2311.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,2752.0,2020.0,873.0,985.0,1496.0,2753.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,2792.0,2182.0,544.0,730.0,976.0,2252.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,2406.0,1947.0,628.0,759.0,938.0,2026.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,2510.5,1901.0,657.5,789.5,911.5,1653.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,2735.5,2186.5,657.5,810.0,986.0,2138.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,2472.5,1579.5,564.0,819.5,710.0,3186.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,2231.0,1484.0,754.5,915.0,978.0,2171.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,2231.0,1484.0,681.0,863.0,877.0,2647.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,2472.5,1579.5,479.5,724.5,576.0,3252.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,2690.0,2130.5,729.0,920.0,896.5,2646.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,2714.0,1966.5,1086.0,1315.0,1378.0,2823.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,2847.5,2495.5,1030.0,1203.0,1723.0,2494.5,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,2330.5,1674.0,485.5,639.5,854.5,3017.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,2229.5,1816.0,762.0,952.5,1063.0,1968.0,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
