system:index,B11,B12,B2,B3,B4,B8,class,.geo
218_0,178.5,93.0,546.0,765.5,746.5,471.0,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,195.5,90.0,535.0,753.0,749.0,433.5,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,176.5,95.0,557.5,772.5,760.0,435.5,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,296.5,103.0,526.5,732.5,701.0,485.5,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,202.5,113.5,536.5,745.5,727.5,445.0,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,151.0,73.0,555.0,784.0,805.0,479.0,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,190.0,85.0,558.0,788.0,808.0,429.0,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
225_0,2628.0,2303.0,1056.0,1542.0,1764.0,1966.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,1533.0,1376.0,1270.0,1382.0,1376.0,1458.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
227_0,1849.0,1681.0,894.0,1218.0,1440.0,1608.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,2618.0,2111.0,993.0,1440.0,1738.0,1964.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,1826.0,1636.0,932.0,1262.0,1482.0,1656.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,2050.0,1680.0,1002.0,1372.0,1532.0,2078.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,1938.0,1793.0,1244.0,1518.0,1620.0,1734.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,2111.0,1884.0,816.0,1130.0,1400.0,1619.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,2191.0,1973.0,1200.0,1444.0,1644.0,1664.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,1671.0,1169.0,544.0,804.0,970.0,1650.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,1747.0,1462.0,972.0,1246.0,1500.0,1726.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,1968.0,1551.0,1362.0,1656.0,1770.0,1958.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,2332.0,1952.0,744.0,1176.0,1366.0,1847.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,1770.0,1603.0,885.0,1128.0,1218.0,1300.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
239_0,2260.0,1943.0,778.0,1130.0,1376.0,1628.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,2818.0,2456.0,889.0,1258.0,1562.0,1930.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
241_0,2674.0,2145.0,751.0,1128.0,1422.0,1912.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
242_0,2343.0,2061.0,749.0,1114.0,1418.0,1644.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
243_0,2694.0,2255.0,648.0,1120.0,1622.0,2270.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
244_0,1955.0,1818.0,728.0,972.0,1082.0,1176.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
245_0,2089.0,1912.0,808.0,1104.0,1262.0,1393.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
246_0,2481.0,2107.0,689.0,1052.0,1240.0,1607.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
247_0,2070.0,1607.0,722.0,1052.0,1192.0,1495.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
248_0,1700.0,1346.0,674.0,870.0,900.0,1644.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
249_0,2058.0,1795.0,706.0,910.0,1026.0,1248.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,1602.0,1503.0,824.0,1080.0,1160.0,1294.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
251_0,1548.0,1387.0,784.0,1032.0,1144.0,1317.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,1686.0,1561.0,858.0,1078.0,1104.0,1122.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
253_0,2500.0,2026.0,798.0,1262.0,1614.0,1980.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
254_0,1872.0,1708.0,720.0,982.0,1094.0,1221.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
255_0,1939.0,1758.0,948.0,1202.0,1238.0,1264.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,2654.0,1826.0,596.0,952.0,1242.0,2592.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
257_0,1994.0,1633.0,690.0,946.0,1152.0,1521.0,stone_quary,"{""type"":""MultiPoint"",""coordinates"":[]}"
